--- Log Started: 01/19/2026 10:51:04 (Level: 1) ---
10:51:05.203 [INFO] ThemeApply: Checking for PmcThemeManager type...
10:51:05.207 [INFO] ThemeApply: PmcThemeManager type found, getting instance...
10:51:05.325 [INFO] ThemeApply: ThemeManager instance: True
10:51:05.327 [INFO] ThemeApply: PmcTheme: True
10:51:05.330 [INFO] ThemeApply: Theme PaletteName: Cyberpunk
10:51:05.330 [INFO] ThemeApply: Theme Hex: #00f3ff
10:51:05.333 [INFO] ThemeApply: Properties null: False
10:51:05.335 [INFO] ThemeApply: Properties count: 50
10:51:05.340 [INFO] ThemeApply: Property keys (first 10): Foreground.TabInactive, Foreground.Success, Foreground.Field, Background.Row, Muted, Border, Background.Field, Foreground.Muted, Background.Selection, Success
10:51:05.383 [INFO] ThemeApply: Theme 'Cyberpunk' applied to Colors class
10:51:05.386 [INFO] ThemeApply: Colors::Background = 0x050510
10:51:05.388 [INFO] ThemeApply: Colors::PanelBg = 0x0A0A1A
10:51:05.390 [INFO] ThemeApply: Colors::Title = 0xFF00FF
10:51:05.391 [INFO] ThemeApply: Colors::SelectionBg = 0x2D004D
10:51:05.393 [INFO] ThemeApply: Colors::SelectionFg = 0xFF00FF
10:51:05.394 [INFO] ThemeApply: Colors::Bright = 0xFFFFFF
10:51:10.180 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.274 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.306 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.338 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.375 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.409 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.445 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.477 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.506 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.542 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.576 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
10:51:10.611 [INFO] TimeModal.Render: ScrW=159 ScrH=37 ModalX=40 ModalY=6 ModalH=24 MenuY=28
